identificadorEmpenho,numeroEmpenho,anoEmpenho,processoEmpenho,numeroDocumento,codigoOrgao,codigoUnidade,dataEmissao,dataVencimento,dataPagamento,cpfCnpjCredor,razaoSocialCredor,valorDocumento,valorCancelado,valorPago,tipoDocumento,tipoPagamento,processoPagamento,nrNLP,anoNLP,codigoEmpresa,modifiedMode,usuarioOperacao,descricaoDocumento
3330135,25941,2026,6025202500285251,9046149,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,112.68,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,9049072,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2390.62,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,9046135,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1874.69,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,9046149,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,112.68,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,9049072,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2390.62,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,9046130,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,112.22,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,9046130,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,112.22,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,9046131,25,10,09/02/2026 11:09:59,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1773.65,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330060,25910,2026,6016202300863953,02,16,18,06/02/2026 00:00:00,02/03/2026 00:00:00,02/03/2026 00:00:00,04941695000167,CENTRO INTEGRADO DE PROMOCAO SOCIAL,198532.85,0.0,198532.85,REQUERIMENTO,,6016202600043331,44300,2026,01,5,,PGT CEI NUVEM DE ALGODAO PER CAPITA - FEV 2026
3330056,25907,2026,6060202500013880,1333,69,10,07/02/2026 00:00:00,02/03/2026 00:00:00,07/04/2026 00:00:00,05991791000182,MESQUITTA SERVICOS E TRANSPORTES LTDA,76127.99,0.0,74224.79,NOTA FISCAL FATURA,,6060202600003569,80130,2026,01,5,,Pagto da NFS-e e Fatura 1333 - Janeiro.2026
3330104,25927,2026,6074202400025174,103,34,10,02/02/2026 00:00:00,27/02/2026 00:00:00,02/03/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,15794.65,0.0,15036.51,NOTA FISCAL ELETRÔNICA,,6074202600006785,47041,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330104,25927,2026,6074202400025174,119,34,10,02/03/2026 00:00:00,30/03/2026 00:00:00,30/03/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,15794.65,0.0,15036.51,NOTA FISCAL ELETRÔNICA,,6074202600006785,60526,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
